AsOfDate,Comapny,Account,AU,Currency,PrimaryAccount,SecondaryAccount,GL_Balance,IHUB_Balance,BalanceDiff,MatchBreak
12/18/2023,ZSLIFM6NXXX,51041087,4981,VUV,Savings Account,deposit transaction at Labadie - Morissette using card ending with ***(...1521) for MUR 470.68 in account ***14099154,51089.27,16076.66,35012.61,Break
03/05/2024,PMMZLU5YIZ0,56816439,7729,USD,Personal Loan Account,invoice transaction at Monahan - Hessel using card ending with ***(...6074) for TOP 118.75 in account ***61380682,74359.48,89541.19,-15181.710000000006,Break
10/07/2023,LKGHPHNW,46199189,7580,PLN,Savings Account,withdrawal transaction at Goldner - Glover using card ending with ***(...4804) for MUR 61.56 in account ***02499865,70135.46,62443.3,7692.1600000000035,Break
05/17/2024,DUCDMPDM,35903875,7582,RUB,Checking Account,deposit transaction at Kerluke Inc using card ending with ***(...9852) for BTN 255.40 in account ***70966505,10538.64,63263.45,-52724.81,Break
03/02/2025,RGLWKZFW,42571892,464,AED,Savings Account,payment transaction at Zieme and Sons using card ending with ***(...5072) for CUP 610.26 in account ***52411347,50746.32,87512.1,-36765.780000000006,Break
11/13/2023,ABZUCAP5ZUY,83130951,5172,MVR,Checking Account,payment transaction at Larkin - Bartoletti using card ending with ***(...3890) for CLP 806.13 in account ***12873296,35132.55,28731.3,6401.250000000004,Break
03/12/2024,TCOUGHW8,93567534,8708,USD,Credit Card Account,deposit transaction at Russel Inc using card ending with ***(...4059) for ILS 952.07 in account ***48785021,24135.11,96288.83,-72153.72,Break
01/08/2025,OJTPZMMM,19146880,7853,MUR,Checking Account,invoice transaction at Champlin: Schamberger and Runolfsson using card ending with ***(...2832) for NZD 303.40 in account ***81822914,57168.14,54273.27,2894.8700000000026,Break
01/06/2024,EDPYNPFMX3U,40780445,6567,TJS,Money Market Account,deposit transaction at Wisoky - Schuppe using card ending with ***(...7807) for NGN 526.71 in account ***48420141,54173.1,67200.07,-13026.970000000008,Break
01/03/2024,GBTKHTOB,64535201,6105,ZMW,Personal Loan Account,withdrawal transaction at Stark - Stracke using card ending with ***(...5589) for SEK 963.15 in account ***66365783,38241.75,24584.1,13657.65,Break
12/26/2023,TATQIR8NXXX,61370827,744,EUR,Home Loan Account,deposit transaction at Sawayn Group using card ending with ***(...3591) for OMR 779.85 in account ***38480425,76994.08,97208.72,-20214.64,Break
09/17/2024,ENJIPM8RIEO,34794574,5797,HTG,Savings Account,deposit transaction at Kiehn: Lockman and Sawayn using card ending with ***(...3679) for SHP 74.96 in account ***96163950,78571.29,89401.87,-10830.580000000002,Break
12/29/2023,DCESPK4B,61021304,1363,SLE,Home Loan Account,deposit transaction at Brown - Bins using card ending with ***(...3365) for KZT 321.84 in account ***80634343,76857.01,22736.13,54120.87999999999,Break
02/25/2025,OFMITWRDXXX,77035721,4008,MXN,Home Loan Account,payment transaction at DuBuque - Davis using card ending with ***(...6696) for BYN 159.41 in account ***79970641,26462.15,81746.84,-55284.69,Break
10/04/2023,ZRKKASWV,78698585,5097,XOF,Investment Account,invoice transaction at Miller - Rolfson using card ending with ***(...9021) for ILS 940.18 in account ***92445023,46739.94,64019.67,-17279.729999999996,Break
02/19/2025,IGNSHU37XXX,58405289,6212,KPW,Checking Account,invoice transaction at Reynolds Inc using card ending with ***(...5174) for TZS 883.02 in account ***91551417,88098.82,24491.9,63606.920000000006,Break
11/04/2024,WHYKSI51,89557298,5928,LRD,Savings Account,payment transaction at McLaughlin - Lockman using card ending with ***(...5856) for ISK 608.38 in account ***30965495,50774.3,72129.94,-21355.64,Break
07/20/2024,EHHOGE2EXXX,2667287,826,KYD,Personal Loan Account,invoice transaction at Parker: Rempel and Gibson using card ending with ***(...9181) for ISK 420.99 in account ***27759690,13032.94,87823.56,-74790.62,Break
09/07/2024,WOOOSO2MT4L,40209169,3694,SHP,Personal Loan Account,payment transaction at Flatley Group using card ending with ***(...5578) for EGP 33.51 in account ***39778927,37835.94,33428.09,4407.850000000006,Break
02/14/2024,LCGQBQNJ,17044527,342,UAH,Investment Account,payment transaction at Dickinson: Goyette and Fisher using card ending with ***(...2700) for JMD 107.82 in account ***08974680,38668.4,7201.22,31467.18,Break
05/12/2024,NJFHCCKO,8831454,2159,EUR,Checking Account,deposit transaction at Langworth: Lubowitz and Stokes using card ending with ***(...5520) for XPF 29.16 in account ***51565730,18097.25,84619.72,-66522.47,Break
01/11/2025,NKPQKGVP,82493178,8825,CAD,Checking Account,withdrawal transaction at Volkman - Tillman using card ending with ***(...2072) for SDG 328.38 in account ***72862739,59892.0,46663.09,13228.910000000003,Break
02/18/2024,IEBIEE02,86329493,6158,USD,Credit Card Account,invoice transaction at Howe: Donnelly and Ebert using card ending with ***(...2937) for BDT 923.09 in account ***67592603,54450.98,40681.78,13769.200000000004,Break
02/28/2025,SWZKKRWV,6558375,6406,AOA,Auto Loan Account,deposit transaction at MacGyver and Sons using card ending with ***(...4007) for SAR 357.33 in account ***91751017,44648.98,8155.13,36493.850000000006,Break
04/05/2024,TAKPSDE5,42234443,1072,CUP,Personal Loan Account,deposit transaction at Mitchell - O'Reilly using card ending with ***(...3487) for MUR 704.55 in account ***74808227,13781.44,70959.76,-57178.31999999999,Break
10/30/2023,LNLKMRWLXXX,48174594,4817,SEK,Auto Loan Account,payment transaction at Stehr LLC using card ending with ***(...9319) for BDT 271.30 in account ***99693053,76481.09,62642.29,13838.799999999996,Break
01/23/2024,OZDUMOCR,45892686,1843,RON,Personal Loan Account,deposit transaction at Runolfsson: Nikolaus and Witting using card ending with ***(...2330) for EUR 657.27 in account ***92671527,54624.7,38578.64,16046.059999999998,Break
02/27/2025,EHXGSKVF,57241559,9346,TRY,Home Loan Account,withdrawal transaction at Bosco: Willms and Doyle using card ending with ***(...7902) for OMR 591.74 in account ***32768180,51848.67,84076.69,-32228.020000000004,Break
08/04/2024,TKYRBZJJ,83704442,4583,PKR,Money Market Account,payment transaction at Champlin - Price using card ending with ***(...3371) for BOB 433.03 in account ***78073842,16216.34,45908.76,-29692.42,Break
07/09/2024,EGGZKIRCNOJ,80503003,6393,KRW,Money Market Account,deposit transaction at Quigley: Lowe and Kerluke using card ending with ***(...0613) for XAF 426.25 in account ***99333759,64870.78,94529.7,-29658.92,Break
02/14/2024,HJJAUMC3XXX,5760732,3853,IQD,Personal Loan Account,deposit transaction at Greenfelder and Sons using card ending with ***(...0717) for TOP 473.91 in account ***86541609,63096.87,72043.93,-8947.05999999999,Break
03/19/2024,HEKWMOMMXDB,66134911,2534,NPR,Auto Loan Account,withdrawal transaction at Hammes - Deckow using card ending with ***(...3369) for DZD 600.40 in account ***67827257,89405.36,76744.16,12661.199999999995,Break
05/27/2024,EMDGGU9F,88232775,5670,GEL,Savings Account,invoice transaction at Parker: Prohaska and Turcotte using card ending with ***(...0850) for BYN 711.75 in account ***25011869,77100.52,65454.39,11646.130000000005,Break
12/31/2023,YETZSTQ9,28823797,1893,ZAR,Savings Account,withdrawal transaction at Trantow Group using card ending with ***(...4594) for SZL 365.13 in account ***96273061,80742.96,15567.48,65175.48000000001,Break
12/23/2023,UJTGCY8V,85297445,5131,KYD,Checking Account,deposit transaction at King: Feest and Davis using card ending with ***(...2833) for SGD 189.49 in account ***29303492,12629.87,83355.0,-70725.13,Break
11/06/2024,YCVGALP6XXX,9719753,1226,RON,Investment Account,payment transaction at Herman - Gutkowski using card ending with ***(...2394) for DOP 282.74 in account ***59606573,52502.49,5436.73,47065.76,Break
11/08/2024,NAJWGUM5,68209190,4147,PEN,Investment Account,deposit transaction at Raynor and Sons using card ending with ***(...0782) for SAR 614.20 in account ***49949389,30866.77,6252.88,24613.89,Break
08/18/2024,RUMFCHGTXXX,29733993,7613,AFN,Checking Account,deposit transaction at Marks: Kulas and Stark using card ending with ***(...3996) for CHF 584.50 in account ***91562304,37840.38,36943.51,896.8699999999953,Break
04/21/2024,YFBBPRUL,22302777,9151,MYR,Checking Account,deposit transaction at Stroman - Grant using card ending with ***(...7758) for ALL 16.17 in account ***97230681,37687.71,75575.12,-37887.41,Break
12/24/2023,DERUMMI6XXX,41029034,8687,TND,Money Market Account,payment transaction at Hamill - Kling using card ending with ***(...8135) for ZAR 434.31 in account ***27377133,44981.94,23837.52,21144.42,Break
01/24/2025,YONUISNT,1414369,4912,HKD,Checking Account,withdrawal transaction at Abbott Group using card ending with ***(...4952) for BBD 707.33 in account ***71668787,37175.64,23019.63,14156.009999999998,Break
06/06/2024,DHGBBYUIXXX,45286492,4712,WST,Money Market Account,payment transaction at Dooley Group using card ending with ***(...8146) for GBP 587.43 in account ***57971488,45077.4,71120.05,-26042.65,Break
10/13/2023,BFEFDONYXXX,15761288,7561,GEL,Checking Account,deposit transaction at Hand: Runolfsson and Ankunding using card ending with ***(...2549) for ISK 600.41 in account ***28916492,13108.16,52666.22,-39558.06,Break
12/16/2024,USLWMY4M,51496271,9432,SRD,Auto Loan Account,deposit transaction at Mraz: White and Lubowitz using card ending with ***(...8517) for OMR 885.31 in account ***32565663,86905.61,74900.8,12004.809999999998,Break
03/07/2025,QKRABR6QXXX,51204621,4837,RUB,Credit Card Account,payment transaction at Frami and Sons using card ending with ***(...2417) for THB 396.46 in account ***01215217,70867.81,60242.3,10625.509999999997,Break
12/02/2024,ZQLXSOEC,30679334,8588,LBP,Savings Account,invoice transaction at O'Conner: O'Hara and Moore using card ending with ***(...3552) for KYD 156.78 in account ***62708878,40776.25,33626.06,7150.190000000002,Break
02/27/2024,ODVMITQVXXX,76549343,1768,NIO,Credit Card Account,deposit transaction at Bahringer Inc using card ending with ***(...4722) for AMD 223.44 in account ***50854788,84086.27,69912.6,14173.669999999998,Break
02/09/2025,LJRZLR8F,81566326,3083,GYD,Investment Account,payment transaction at Smitham - Leffler using card ending with ***(...6193) for HNL 729.96 in account ***21066506,26516.91,17387.47,9129.44,Break
03/07/2025,GUGWMXAU,80462544,9885,SSP,Investment Account,invoice transaction at McLaughlin: Effertz and Lakin using card ending with ***(...3569) for ZAR 815.23 in account ***69269670,78171.64,77564.13,607.5099999999948,Break
05/16/2024,SCOLGU2G,1696196,1883,USD,Home Loan Account,deposit transaction at Kuhic: Harvey and Cole using card ending with ***(...9448) for UGX 438.35 in account ***05060867,46490.18,9806.14,36684.04,Break
10/29/2024,BGCSGH16,28811060,7419,CAD,Credit Card Account,deposit transaction at Herman - Jones using card ending with ***(...5448) for RUB 268.38 in account ***29896464,52676.47,46073.22,6603.25,Break
09/30/2024,UEYLAGEW,20402235,8950,BHD,Auto Loan Account,invoice transaction at Ferry: Metz and Boyer using card ending with ***(...3231) for TND 626.85 in account ***47146576,44943.42,5746.3,39197.12,Break
12/28/2024,YYHKIT7E3FX,10898984,7007,LRD,Personal Loan Account,invoice transaction at Bogan - Mann using card ending with ***(...3964) for KHR 317.83 in account ***92527889,80181.59,17307.97,62873.62,Break
01/09/2025,OOYTNP4W,89142209,371,ISK,Savings Account,withdrawal transaction at Bergstrom and Sons using card ending with ***(...0416) for BYN 886.32 in account ***03539557,40971.48,19961.5,21009.980000000003,Break
12/09/2024,XXUYTCZWGX2,90285965,7930,GBP,Checking Account,deposit transaction at Wolf LLC using card ending with ***(...0354) for PYG 215.79 in account ***91005778,26692.45,39755.28,-13062.829999999998,Break
09/07/2024,PAWYLVOZ1X7,6623343,9313,ALL,Credit Card Account,deposit transaction at Hauck: Kuhic and Bergstrom using card ending with ***(...8184) for LSL 428.42 in account ***60578758,34773.7,93523.03,-58749.33,Break
10/25/2023,HAJXLC10,91556609,2376,CHF,Personal Loan Account,withdrawal transaction at Doyle: Nitzsche and Schulist using card ending with ***(...4708) for RUB 78.34 in account ***12256098,85891.11,44951.06,40940.05,Break
10/05/2024,FNKFIDPFA1H,15614122,9855,SBD,Auto Loan Account,withdrawal transaction at Morissette: Hilll and Tromp using card ending with ***(...1098) for MVR 636.67 in account ***77933076,27404.58,35478.77,-8074.189999999995,Break
12/04/2023,FUJNSIR7,8351050,3454,KYD,Home Loan Account,deposit transaction at Jacobi: Kiehn and Abshire using card ending with ***(...2291) for UYU 755.02 in account ***47846707,80843.34,73254.0,7589.3399999999965,Break
10/23/2024,ZMRUYTEWXXX,50492020,477,AWG,Home Loan Account,deposit transaction at Mitchell - Schumm using card ending with ***(...1187) for STN 505.40 in account ***03196473,74400.4,49970.21,24430.189999999995,Break
02/14/2025,SMORGUYTE1N,73480075,783,SAR,Savings Account,withdrawal transaction at Dare Inc using card ending with ***(...7794) for USD 521.29 in account ***44441055,30320.82,93640.71,-63319.89000000001,Break
05/21/2024,OWRZSDD1XXX,55281481,5024,SSP,Savings Account,deposit transaction at Doyle - McCullough using card ending with ***(...9722) for NGN 796.21 in account ***93580423,73357.61,74661.93,-1304.3199999999924,Break
11/19/2024,GUONNLAPXXX,53871994,5101,SLE,Money Market Account,payment transaction at Jaskolski: Batz and Cremin using card ending with ***(...9180) for HNL 513.52 in account ***87598859,82269.17,40017.54,42251.63,Break
06/14/2024,TCLWMAONZYK,34021875,8799,USD,Home Loan Account,payment transaction at Pacocha: Hamill and Durgan using card ending with ***(...9195) for PAB 228.27 in account ***58999957,52749.64,26146.3,26603.34,Break
04/15/2024,DVQMATBOXR9,99932322,2529,BWP,Savings Account,deposit transaction at Schamberger and Sons using card ending with ***(...9186) for KYD 335.41 in account ***18739937,80748.31,91770.28,-11021.97,Break
01/17/2024,YTKKSHB4AKI,54289984,2012,NAD,Savings Account,deposit transaction at Hessel Group using card ending with ***(...9159) for GYD 953.45 in account ***22304116,17417.41,67286.87,-49869.45999999999,Break
02/08/2024,RCVCFKIC,72485024,4753,SZL,Home Loan Account,invoice transaction at Jast Inc using card ending with ***(...6232) for LAK 667.80 in account ***31569854,61842.67,97828.66,-35985.990000000005,Break
10/06/2023,XLQWSJL3XXX,63594244,530,PAB,Investment Account,payment transaction at Thompson and Sons using card ending with ***(...3788) for CZK 653.14 in account ***75261006,57687.84,38178.07,19509.77,Break
12/18/2024,EBFZKZ3R,49823031,9769,MUR,Home Loan Account,deposit transaction at White LLC using card ending with ***(...5663) for AZN 477.11 in account ***19462967,51909.01,54451.79,-2542.779999999999,Break
01/20/2025,EFGSPTJNXXX,21038745,8785,BSD,Checking Account,payment transaction at McLaughlin: Waters and Hackett using card ending with ***(...7412) for SYP 308.77 in account ***74067894,88001.14,52261.46,35739.68,Break
01/26/2025,PVMOISGY,20223975,963,USD,Personal Loan Account,payment transaction at Ratke: Okuneva and Stokes using card ending with ***(...6706) for TTD 514.90 in account ***00181048,78923.15,86772.8,-7849.650000000009,Break
09/20/2024,JASPGMWJ,92664737,7900,INR,Investment Account,payment transaction at Bosco LLC using card ending with ***(...3270) for NGN 507.98 in account ***34987060,74794.75,47109.98,27684.77,Break
11/25/2023,WDTASEFGXXX,8996651,8020,BYN,Money Market Account,deposit transaction at Denesik: MacGyver and Nienow using card ending with ***(...9256) for CZK 728.25 in account ***42406105,69810.45,41465.04,28345.41,Break
11/19/2024,PDMRTN5R,52414303,8301,INR,Auto Loan Account,deposit transaction at Gottlieb: Homenick and Waelchi using card ending with ***(...0015) for NZD 318.43 in account ***27650905,67337.76,49188.73,18149.02999999999,Break
11/22/2023,IBBVRODVXXX,16534926,5077,LAK,Credit Card Account,invoice transaction at Reynolds LLC using card ending with ***(...0718) for LYD 380.33 in account ***30055372,84471.87,44018.38,40453.49,Break
04/02/2024,VWEHKYYOUAY,50892869,4375,BZD,Checking Account,withdrawal transaction at Pouros Inc using card ending with ***(...0312) for KPW 271.64 in account ***30243989,45539.28,12976.5,32562.78,Break
11/14/2023,WTMSSMF1,65262773,9135,OMR,Money Market Account,payment transaction at Dare - Nolan using card ending with ***(...7124) for THB 17.14 in account ***09902661,64233.75,46640.65,17593.1,Break
02/03/2025,FRVEGQV4,816320,7720,USD,Credit Card Account,payment transaction at Monahan: Runte and Reichert using card ending with ***(...0245) for CUP 599.10 in account ***19792115,24260.21,54717.12,-30456.910000000003,Break
10/04/2024,ZZZKMY5SSMW,42767609,2647,UAH,Auto Loan Account,invoice transaction at Bernhard Group using card ending with ***(...1222) for ALL 14.49 in account ***08908512,66037.37,19632.86,46404.51,Break
01/18/2025,KSIMGL3G,49872509,9190,TMT,Investment Account,invoice transaction at Weissnat Group using card ending with ***(...5120) for SAR 416.69 in account ***88652001,48486.42,85520.38,-37033.96000000001,Break
04/02/2024,PCUKUZKRXXX,77157839,7809,INR,Savings Account,deposit transaction at Monahan Inc using card ending with ***(...4165) for SHP 381.88 in account ***85293903,24452.03,54709.74,-30257.71,Break
02/20/2025,DAPDBEVJXXX,39961339,926,TWD,Savings Account,deposit transaction at Morar: Lockman and Brakus using card ending with ***(...7239) for BND 44.36 in account ***80901093,58648.86,88881.44,-30232.58,Break
02/19/2025,DTERAWIS,82419436,2470,CNY,Auto Loan Account,withdrawal transaction at Moen - Mante using card ending with ***(...5036) for ZWL 248.14 in account ***02827204,77973.61,26391.38,51582.23,Break
12/05/2023,JPCGIO2DO7P,55769105,4215,NAD,Auto Loan Account,invoice transaction at Lowe Group using card ending with ***(...4807) for JPY 806.46 in account ***08887338,48300.08,95406.74,-47106.66,Break
12/12/2023,QVOYGW7PQYE,57760952,746,TWD,Savings Account,invoice transaction at Hickle LLC using card ending with ***(...7703) for KYD 602.40 in account ***72933999,61251.47,25757.15,35494.32,Break
01/17/2025,RSCBAULF,74137,641,EUR,Auto Loan Account,withdrawal transaction at Kohler - Glover using card ending with ***(...1109) for SDG 479.63 in account ***43564396,61310.42,21986.85,39323.57,Break
12/22/2023,DAOFUYCM6RU,60859979,7889,GNF,Savings Account,withdrawal transaction at Fritsch - Rutherford using card ending with ***(...6368) for VND 147.84 in account ***65849878,15904.47,90264.68,-74360.20999999999,Break
12/30/2023,JYGLKELTXXX,47775212,6959,ETB,Auto Loan Account,invoice transaction at McDermott - Marvin using card ending with ***(...7094) for ISK 877.81 in account ***44134451,33925.55,41974.82,-8049.269999999997,Break
11/24/2024,GGCUBMOV,25170986,1839,LKR,Auto Loan Account,payment transaction at Kemmer: Hand and Wiza using card ending with ***(...1700) for NGN 760.69 in account ***54282672,63747.38,80239.51,-16492.129999999997,Break
03/04/2024,TBKGAOXVXXX,45546552,8735,TZS,Credit Card Account,deposit transaction at Hessel: Lehner and Bechtelar using card ending with ***(...4976) for TTD 168.91 in account ***18917677,41067.61,38514.3,2553.3099999999977,Break
12/08/2024,TFAXPE6UXXX,33871329,1089,ALL,Savings Account,invoice transaction at Heathcote - Baumbach using card ending with ***(...4057) for ZWL 83.85 in account ***13549961,75192.29,43843.86,31348.429999999997,Break
09/15/2024,IETSVG60ESM,22994758,5738,GYD,Credit Card Account,withdrawal transaction at Heller - Kerluke using card ending with ***(...0330) for VND 858.73 in account ***10226385,42134.65,58419.69,-16285.04,Break
12/08/2024,NQNKCDP0,60195174,6247,LRD,Savings Account,withdrawal transaction at Ledner and Sons using card ending with ***(...8035) for SGD 193.56 in account ***39714502,23247.57,14644.51,8603.06,Break
01/15/2024,BPJMNLP2XXX,21185917,5294,USD,Savings Account,invoice transaction at Dibbert: Kessler and Schowalter using card ending with ***(...8522) for SBD 506.75 in account ***02081723,86886.07,41312.45,45573.62000000001,Break
12/04/2024,GIUFMA8J,84446132,6245,GTQ,Credit Card Account,withdrawal transaction at Bednar Group using card ending with ***(...9342) for MVR 557.14 in account ***33697055,44139.16,5746.21,38392.95,Break
01/14/2025,TIEJZWU5WML,16793612,1867,ZAR,Auto Loan Account,withdrawal transaction at Hills: Schumm and Harris using card ending with ***(...3897) for TMT 287.09 in account ***61073010,80176.81,96936.9,-16760.089999999997,Break
09/09/2024,JKNAIQBL,81007986,1725,UZS,Savings Account,invoice transaction at Bechtelar LLC using card ending with ***(...0474) for RON 854.97 in account ***42527472,59719.03,20065.35,39653.68,Break
10/20/2024,CXDUFO91,97275321,6504,MZN,Personal Loan Account,deposit transaction at Johns - Feest using card ending with ***(...8914) for SHP 578.52 in account ***91443616,70621.49,71966.93,-1345.4399999999878,Break
10/13/2024,PBLOSV70,93357142,1601,FJD,Home Loan Account,deposit transaction at Ratke Inc using card ending with ***(...2726) for MZN 928.12 in account ***14622802,85102.59,11585.13,73517.45999999999,Break
12/25/2023,RJJDDZZA,72989556,890,SLE,Money Market Account,payment transaction at Hermiston - Koch using card ending with ***(...1064) for VES 819.90 in account ***30424041,23900.14,35190.83,-11290.690000000002,Break
03/30/2024,TRBHKRFAXXX,11258410,5001,MXN,Personal Loan Account,invoice transaction at Kuhn Inc using card ending with ***(...9172) for SGD 274.62 in account ***66707149,64506.88,6583.63,57923.25,Break
12/11/2024,XMJQNAA1QLA,69297677,3907,YER,Savings Account,payment transaction at Stracke Inc using card ending with ***(...4477) for UAH 720.97 in account ***80843104,78912.68,93485.81,-14573.130000000005,Break
09/16/2024,HDCWMG2O,38914683,3129,ERN,Money Market Account,deposit transaction at Gibson - Rice using card ending with ***(...4127) for PAB 942.18 in account ***01817318,71222.83,31522.06,39700.77,Break
09/30/2024,JVONCL38XXX,16522506,8667,ANG,Home Loan Account,payment transaction at Rowe - Oberbrunner using card ending with ***(...6085) for NAD 85.20 in account ***86254908,84717.92,78295.1,6422.819999999992,Break
01/22/2025,JJVQFR0M,9813009,3539,TRY,Home Loan Account,invoice transaction at McDermott Inc using card ending with ***(...1965) for SZL 881.83 in account ***86767834,57969.62,15995.13,41974.490000000005,Break
07/11/2024,XILKJM0LACL,89441836,5365,LKR,Investment Account,payment transaction at Kling and Sons using card ending with ***(...3156) for SSP 440.56 in account ***09899550,38009.01,38246.08,-237.0699999999997,Break
08/30/2024,ZOSPGSVZOG4,34359086,5955,KES,Home Loan Account,deposit transaction at Mayer: Pollich and Lemke using card ending with ***(...2567) for KPW 919.84 in account ***83448197,19452.92,65205.66,-45752.740000000005,Break
05/11/2024,ZCGOSGL4XXX,49658225,2440,CNY,Personal Loan Account,withdrawal transaction at Berge and Sons using card ending with ***(...9396) for PLN 49.98 in account ***26833404,68694.89,94994.42,-26299.53,Break
01/26/2025,DGGZAMRLXXX,2190159,4601,KES,Auto Loan Account,withdrawal transaction at Lindgren Inc using card ending with ***(...0810) for WST 147.28 in account ***20170363,43497.73,37179.75,6317.980000000003,Break
01/18/2025,QUVDKWHPXXX,57827293,4566,MXN,Investment Account,deposit transaction at Rath - Rempel using card ending with ***(...4149) for LYD 244.48 in account ***92781264,60968.57,26382.0,34586.57,Break
08/23/2024,PILBMQ64GOZ,26286191,3999,HTG,Auto Loan Account,withdrawal transaction at Daugherty: Wisoky and Shanahan using card ending with ***(...7462) for CUP 134.91 in account ***20890607,62112.77,94941.23,-32828.46,Break
10/10/2023,KYQSTKXL6BJ,40416301,9627,DZD,Auto Loan Account,invoice transaction at Kuvalis - Schneider using card ending with ***(...2501) for EGP 440.95 in account ***15427264,14739.97,96304.19,-81564.22,Break
07/12/2024,LJHAVCRXXXX,22905948,3573,AZN,Checking Account,payment transaction at Harvey - Olson using card ending with ***(...1532) for MOP 943.29 in account ***90279445,65491.44,78735.58,-13244.14,Break
02/22/2024,EFHMUZ7NXXX,77817252,7925,KMF,Personal Loan Account,invoice transaction at Larson LLC using card ending with ***(...8763) for VES 547.83 in account ***68425661,11958.74,63396.85,-51438.11,Break
02/25/2024,TSNPVUCJHSC,77601790,6385,CRC,Checking Account,payment transaction at Emmerich: Nader and Gulgowski using card ending with ***(...7342) for AMD 774.80 in account ***89357362,72842.87,51733.61,21109.259999999995,Break
06/05/2024,UIAAMFK9,98817984,9157,ALL,Savings Account,invoice transaction at Howe Inc using card ending with ***(...2517) for SZL 735.38 in account ***48093813,75276.29,34190.07,41086.22,Break
02/23/2024,QNFYPGW2,43370310,2038,LSL,Home Loan Account,withdrawal transaction at Gusikowski Inc using card ending with ***(...3181) for SEK 753.04 in account ***95082750,43265.34,6154.74,37110.6,Break
04/08/2024,PKLPNZSBPR0,60029754,5065,USD,Auto Loan Account,payment transaction at Wolff and Sons using card ending with ***(...8612) for AFN 874.77 in account ***99924725,86939.98,88776.42,-1836.4400000000023,Break
06/30/2024,MMTFGG6V,6484309,9837,MDL,Home Loan Account,payment transaction at Mitchell Inc using card ending with ***(...2938) for GNF 306.76 in account ***65602499,76976.64,47410.8,29565.84,Break
03/02/2025,TJJIAZA9,37582589,643,HTG,Savings Account,payment transaction at Wilderman Group using card ending with ***(...4123) for BHD 579.49 in account ***05461850,11625.69,6826.13,4799.56,Break
03/03/2024,XAJJGSJ7,55283998,3635,CVE,Checking Account,invoice transaction at Jenkins: Howe and Shanahan using card ending with ***(...5648) for UZS 963.88 in account ***73030374,32860.0,77281.29,-44421.28999999999,Break
06/15/2024,LTUAFMOZ819,91857814,8794,HTG,Investment Account,payment transaction at Hegmann - Koch using card ending with ***(...1408) for MKD 115.22 in account ***25791469,64876.4,60553.75,4322.6500000000015,Break
02/04/2024,VLPATF7SXXX,85964117,9119,GTQ,Credit Card Account,withdrawal transaction at Shields - Murazik using card ending with ***(...8416) for BHD 616.75 in account ***56718867,89820.91,97523.48,-7702.569999999992,Break
03/09/2024,ZJQKTW58,52898122,1202,ZMW,Auto Loan Account,payment transaction at Miller - Littel using card ending with ***(...0920) for BWP 719.35 in account ***15027940,87234.36,22991.85,64242.51,Break
02/27/2025,JFXUDE2THR3,29195372,953,HUF,Credit Card Account,payment transaction at Rau - Reichel using card ending with ***(...3140) for MKD 921.81 in account ***61337164,49697.95,27017.23,22680.72,Break
07/28/2024,PZZPEHG7YL2,79893969,6855,MVR,Savings Account,payment transaction at Christiansen: Weber and Bins using card ending with ***(...0553) for VES 103.66 in account ***91886589,55777.57,44990.6,10786.97,Break
12/12/2024,APWNBQ0PXXX,81622626,4159,KMF,Credit Card Account,payment transaction at Fahey: Marks and Trantow using card ending with ***(...0804) for TRY 132.70 in account ***12212208,71413.78,79883.87,-8470.089999999997,Break
11/16/2024,HDKMDEJSXXX,92899338,1756,CUP,Investment Account,invoice transaction at Larkin - Toy using card ending with ***(...9753) for BOB 865.43 in account ***17077779,57666.63,41544.33,16122.299999999996,Break
11/24/2023,CZHWDK996UR,67281573,897,ISK,Money Market Account,payment transaction at Anderson - Prohaska using card ending with ***(...7299) for GYD 561.49 in account ***14680302,14541.93,15002.01,-460.0799999999999,Break
08/10/2024,DIMZRSDPXXX,76532828,9224,JMD,Auto Loan Account,withdrawal transaction at Beer - Emmerich using card ending with ***(...7304) for LRD 934.43 in account ***69604497,17746.86,64563.43,-46816.57,Break
10/30/2023,DZYSHT8L,32568514,8625,HKD,Auto Loan Account,payment transaction at Carroll: Lind and Denesik using card ending with ***(...7572) for ERN 803.80 in account ***96122263,52496.51,97924.84,-45428.33,Break
05/24/2024,NJYYSK2OXXX,44539695,1462,USD,Investment Account,deposit transaction at Maggio - Grant using card ending with ***(...9871) for CZK 691.21 in account ***05386933,37285.91,24827.79,12458.120000000004,Break
06/28/2024,SVROEHGPXXX,44265259,5738,EUR,Investment Account,payment transaction at Berge: Shields and DuBuque using card ending with ***(...0937) for SRD 174.97 in account ***57452370,50223.97,44694.55,5529.419999999998,Break
07/17/2024,XRZXPWWFL6M,44111834,3761,ALL,Personal Loan Account,payment transaction at Bradtke Group using card ending with ***(...2486) for GMD 691.18 in account ***30931020,21216.45,32109.49,-10893.04,Break
05/29/2024,BHWFAXU3,90706239,4044,MNT,Credit Card Account,payment transaction at Donnelly: Auer and Mayert using card ending with ***(...2938) for XAF 140.51 in account ***56427690,21051.79,56491.93,-35440.14,Break
06/30/2024,FIZGUMWQ,82270313,6603,FKP,Personal Loan Account,payment transaction at Gleason: Jerde and Funk using card ending with ***(...9630) for BHD 509.03 in account ***39346743,40609.97,23297.27,17312.7,Break
08/15/2024,IYYHYT9RHE4,26314658,1697,USD,Investment Account,payment transaction at Wolff Group using card ending with ***(...7654) for JMD 516.47 in account ***93961429,46375.55,9367.01,37008.54,Break
